ISBN,Book-Rating,Total-Reviewers
0060914653,8.133333333333333,30
0060915153,7.2,15
0060915544,8.521367521367521,117
006091565X,7.4375,16
0060916508,8.403846153846153,52
0060917016,8.277777777777779,18
0060920084,7.405405405405405,37
0060921056,8.818181818181818,11
0060921145,7.970149253731344,67
0060922249,8.214285714285714,14
0060922532,7.716981132075472,53
0060923245,8.117647058823529,17
0060924985,6.2727272727272725,11
0060926317,7.55,40
0060927216,7.764705882352941,17
0060927240,7.4375,16
0060927569,8.391304347826088,23
0060928336,7.8875,320
0060929596,8.0,11
0060929790,8.24390243902439,41
0060929871,7.855072463768116,69
006092988X,8.971428571428572,35
0060930187,8.023809523809524,42
0060930535,8.178082191780822,219
006093090X,7.777777777777778,18
0060931418,8.0,33
0060932139,7.826086956521739,23
0060932759,7.480769230769231,52
0060932813,7.5,24
0060934417,8.1625,160
0060934425,7.2727272727272725,11
0060934700,8.352941176470589,17
0060934719,8.115384615384615,26
0060934913,8.133333333333333,30
0060935464,9.038461538461538,26
0060936231,6.809523809523809,21
0060936363,8.23076923076923,26
0060938455,8.415584415584416,154
0060952970,8.083333333333334,12
0060953691,7.6,15
0060955775,7.958333333333333,24
0060958022,7.597014925373134,67
0060959037,8.159420289855072,138
0060959355,7.571428571428571,14
0060964049,8.146341463414634,41
0060970790,7.733333333333333,15
0060972122,7.933333333333334,15
0060972459,7.076923076923077,13
0060973617,8.545454545454545,11
0060973897,8.071428571428571,14
0060975547,7.357142857142857,14
0060975849,7.857142857142857,14
0060976241,7.592592592592593,27
0060976497,6.090909090909091,22
006097673X,9.0,11
0060976845,7.596774193548387,186
0060977264,7.545454545454546,11
0060977337,8.047619047619047,21
0060977477,8.166666666666666,18
0060977493,7.680412371134021,97
0060977744,7.473684210526316,19
0060981180,8.0,13
0060987049,7.7727272727272725,22
0060987103,7.871794871794871,156
006098726X,8.454545454545455,11
0060987324,7.3125,16
0060987529,7.4646464646464645,99
0060987561,8.26595744680851,94
006098824X,7.655172413793103,29
0060988258,7.266666666666667,15
0060988649,6.636363636363637,22
006099486X,7.672727272727273,55
0061000019,7.181818181818182,11
0061000027,7.72,25
0061000035,8.0,11
0061000043,7.764705882352941,34
0061000175,7.416666666666667,36
0061000280,6.916666666666667,12
0061000299,7.909090909090909,11
0061006629,7.0,16
0061009059,7.940298507462686,134
0061009504,7.571428571428571,14
0061012165,6.545454545454546,11
0061012513,7.916666666666667,12
0061013315,7.454545454545454,11
0061013412,7.090909090909091,22
0061013439,7.416666666666667,12
006101351X,7.38655462184874,119
0061014591,7.846153846153846,13
0061015725,7.571428571428571,77
0061020400,8.176470588235293,17
0061020648,8.25,16
0061020656,7.133333333333334,15
0061020680,8.11111111111111,18
0061020699,7.777777777777778,18
0061020702,8.1,20
0061020710,7.311111111111111,45
0061030430,6.857142857142857,21
0061030597,7.2727272727272725,22
0061030635,7.565217391304348,23
0061030643,7.214285714285714,28
0061030651,7.363636363636363,11
0061031070,7.44,25
0061031089,7.125,16
0061031321,8.4,15
0061031410,7.36,25
0061031429,7.0,19
0061031445,7.666666666666667,12
0061031550,7.1,20
0061031844,6.2,20
0061031992,8.0,17
0061032093,7.45,20
0061032425,6.846153846153846,13
0061040347,7.666666666666667,12
0061042005,7.214285714285714,14
0061042935,7.083333333333333,12
0061042943,7.533333333333333,15
0061044431,7.590909090909091,22
006104444X,7.636363636363637,11
0061044636,7.083333333333333,12
0061052892,6.545454545454546,11
0061053104,7.166666666666667,12
0061054151,6.8,20
0061054437,7.2,15
0061054895,7.882352941176471,17
0061054909,6.666666666666667,15
0061056774,6.583333333333333,12
0061056901,8.090909090909092,11
0061057363,7.230769230769231,13
0061057649,8.3,20
0061057894,7.666666666666667,18
0061059056,8.166666666666666,12
0061059072,7.764705882352941,17
0061073628,7.909090909090909,11
0061090808,7.357142857142857,14
0061090891,7.090909090909091,11
0061091316,7.85,20
0061091464,7.785714285714286,14
006109157X,7.647058823529412,17
0061091790,7.352941176470588,17
0061091944,6.461538461538462,13
0061091995,7.357142857142857,14
0061092002,6.6875,16
0061092088,7.181818181818182,11
0061092177,8.478260869565217,23
0061092193,8.0,13
0061092533,6.916666666666667,12
0061092606,7.7727272727272725,22
0061092614,7.863636363636363,22
0061092886,7.695652173913044,23
0061093327,7.466666666666667,15
0061093335,6.958333333333333,24
0061093343,7.818181818181818,11
0061093491,7.4,15
0061093653,7.909090909090909,11
006109398X,6.882352941176471,17
0061094110,7.066666666666666,15
0061094129,7.416666666666667,24
0061094234,8.461538461538462,13
0061094404,7.090909090909091,11
0061095540,7.071428571428571,14
006109594X,7.0,13
0061096083,7.352941176470588,17
0061096105,7.8,15
0061096113,7.285714285714286,28
0061097101,7.481927710843373,83
0061097314,7.861111111111111,72
0061097659,7.25,16
0061097667,7.461538461538462,13
0061097853,7.870967741935484,31
0061097861,7.84375,32
0061098035,7.538461538461538,13
0061098361,6.466666666666667,15
006109868X,8.08,25
0061098795,7.482758620689655,29
0061099015,7.846153846153846,13
0061099155,8.142857142857142,14
006109918X,8.333333333333334,12
006109921X,7.9523809523809526,21
0061099325,7.545454545454546,22
0061099341,8.411764705882353,17
0061099368,7.416666666666667,12
0061099643,8.090909090909092,11
0061099694,7.3076923076923075,13
0061099708,7.764705882352941,17
0061099732,7.117647058823529,17
0061099805,7.3076923076923075,13
0062501860,7.4,15
0062502174,8.714285714285714,21
0062502182,8.076190476190476,105
0062505319,7.625,16
0062515845,8.153846153846153,13
0062516590,8.75,16
0062548662,6.833333333333333,12
0064400018,8.74074074074074,27
0064400026,8.233333333333333,30
0064400034,7.857142857142857,21
0064400042,8.72,25
0064400050,8.055555555555555,18
0064400069,8.666666666666666,12
0064400077,7.7272727272727275,11
0064400085,8.583333333333334,12
0064400557,9.073529411764707,68
0064400565,8.75,16
0064400581,7.782608695652174,23
0064400859,6.75,12
0064401847,8.473684210526315,38
0064401871,9.153846153846153,13
006440188X,9.2,20
0064402053,7.75,12
0064402967,7.181818181818182,11
0064403319,8.357142857142858,14
0064403688,7.909090909090909,11
0064404773,9.117647058823529,17
0064404994,9.0,15
0064405052,9.133333333333333,15
0064405176,7.896551724137931,29
0064405842,8.074074074074074,27
006440630X,7.75,20
0064406970,8.6,15
0064407055,8.083333333333334,24
0064407667,7.371681415929204,113
0064407675,7.958333333333333,48
0064407683,8.266666666666667,30
0064407691,8.363636363636363,22
0064408183,7.928571428571429,14
0064408639,8.777777777777779,18
0064408647,8.444444444444445,18
0064408655,8.333333333333334,18
0064408663,9.0,13
0064409422,9.352941176470589,17
0064410129,8.35,20
0064410137,8.545454545454545,11
0064440508,8.875,16
0064471047,8.714285714285714,42
0064471055,8.545454545454545,22
0064471063,8.518518518518519,27
0064471071,8.733333333333333,15
006447108X,8.833333333333334,18
0064471098,8.733333333333333,15
0064471101,8.72972972972973,37
0064471837,8.64,25
006447187X,8.25,12
0064471969,7.25,12
0064472264,7.6923076923076925,13
0064472272,7.947368421052632,57
0064472795,8.391304347826088,23
0066211611,7.6923076923076925,26
0066212855,8.066666666666666,15
0066214122,7.813186813186813,91
0066214440,6.608695652173913,23
0066238501,9.444444444444445,18
0070212570,8.593023255813954,86
0091842050,9.181818181818182,11
0091867770,7.86,50
009188800X,8.444444444444445,18
0099218216,6.7272727272727275,11
0099244926,7.230769230769231,13
0099245027,6.857142857142857,35
0099263815,7.7272727272727275,22
009927583X,7.071428571428571,14
0099279274,7.173913043478261,23
0099288850,6.909090909090909,11
0099289520,7.882352941176471,17
0099387913,7.702702702702703,37
0099394316,7.2727272727272725,11
0099410184,7.416666666666667,12
0099410869,7.866666666666666,15
0099422042,6.75,12
0099426870,7.166666666666667,12
0099429799,8.058823529411764,17
0099448823,7.461538461538462,13
0099464810,7.823529411764706,17
0099521016,7.888888888888889,18
0099527308,7.642857142857143,14
0099586118,7.230769230769231,13
0099604302,7.588235294117647,17
0099727412,7.363636363636363,22
0099747200,8.071428571428571,28
009975181X,7.8,15
0099771012,7.454545454545454,11
0099771519,8.174418604651162,86
0099800403,8.03448275862069,29
0099845008,6.818181818181818,11
0099866005,8.8125,16
0099935708,7.846153846153846,13
0099992000,7.181818181818182,11
0099993805,7.3125,16
0140003185,8.5,14
0140012133,8.538461538461538,13
0140013997,8.5,12
0140018328,8.0,13
0140039589,8.363636363636363,22
0140042210,8.0,14
0140042393,9.129032258064516,31
0140042407,7.461538461538462,13
0140042520,8.36,25
0140042598,8.26530612244898,49
0140043128,7.916666666666667,12
0140043519,8.285714285714286,14
0140046569,8.266666666666667,15
0140049975,8.083333333333334,12
0140051317,8.25,12
0140053204,8.272727272727273,33
0140055770,7.583333333333333,12
014006690X,8.4,15
0140067477,8.03921568627451,102
0140067779,7.923076923076923,26
0140070206,7.909090909090909,11
0140071083,8.363636363636363,11
0140071814,7.045454545454546,22
0140075623,8.61111111111111,18
0140077022,7.448275862068965,29
0140086838,7.777777777777778,18
0140089225,7.7368421052631575,19
0140092323,7.346153846153846,26
0140092501,7.909090909090909,11
0140097058,8.416666666666666,12
0140113428,7.6,15
0140119906,8.116666666666667,60
014012389X,8.181818181818182,11
0140124373,8.23076923076923,13
0140124381,6.769230769230769,13
0140126716,8.714285714285714,14
0140131558,7.739130434782608,23
0140132708,7.95,20
0140133488,9.076923076923077,13
0140143505,9.464285714285714,28
0140154078,7.7272727272727275,11
0140157379,8.583333333333334,12
0140167773,7.538461538461538,13
014016930X,8.0,18
0140176616,8.5,12
014017737X,7.909090909090909,22
0140177388,8.142857142857142,14
0140177396,8.288461538461538,52
0140179836,8.051282051282051,39
0140184953,7.0,12
0140185216,7.454545454545454,33
0140185232,8.428571428571429,14
0140186409,8.26086956521739,23
0140186522,7.090909090909091,11
0140187537,8.181818181818182,11
014018869X,8.833333333333334,12
0140230165,7.909090909090909,22
014023313X,7.435483870967742,62
014023828X,7.541666666666667,24
0140244816,7.25,12
0140244824,6.529411764705882,68
0140245162,7.545454545454546,11
0140250832,7.2727272727272725,11
0140250948,7.3125,16
014025448X,7.880434782608695,92
0140254544,8.170212765957446,47
0140255125,7.545454545454546,11
0140257934,7.923076923076923,26
0140258418,7.625,16
0140258795,7.875,24
0140262032,7.384615384615385,13
0140264795,7.266666666666667,15
0140265686,8.038461538461538,26
0140265988,8.043478260869565,23
0140266771,7.571428571428571,14
0140268863,8.5,12
0140270590,7.96,25
0140272658,7.733333333333333,15
0140274154,7.545454545454546,11
0140274782,7.181818181818182,11
0140276904,6.75,24
0140278826,6.642857142857143,14
014027927X,7.133333333333334,15
0140279288,7.636363636363637,11
014027944X,7.5,12
014028009X,7.6940298507462686,134
0140280464,7.954545454545454,22
0140280553,7.277777777777778,36
0140282033,8.166666666666666,24
0140286276,7.3076923076923075,13
0140287019,7.0,11
0140288503,8.25,12
0140293248,6.909090909090909,165
0140293442,7.0,14
0140293450,8.307692307692308,13
0140293469,8.0,14
0140295569,7.923076923076923,13
014029628X,7.902439024390244,82
0140296298,7.454545454545454,22
0140296409,8.24,25
0140298479,7.517543859649122,114
0140309578,8.25,12
0140328696,8.5,20
014034294X,8.48,25
0140345353,7.9523809523809526,21
0140348107,8.473684210526315,19
014034893X,8.125,16
014034991X,8.357142857142858,14
0140366784,8.538461538461538,13
0140374248,8.380952380952381,21
0140378278,8.4,15
014038572X,8.098039215686274,51
0140386335,8.863636363636363,22
0140386351,7.818181818181818,11
0140386645,8.04,25
0140430016,8.0,20
0140430105,7.769230769230769,13
0140430113,8.0,16
0140430148,7.7272727272727275,11
0140430164,8.818181818181818,11
0140430725,8.764705882352942,34
0140430962,8.272727272727273,11
0140431357,8.181818181818182,11
014043187X,8.454545454545455,11
0140433627,7.714285714285714,14
0140434003,8.818181818181818,11
0140434186,7.583333333333333,12
0140440046,7.633333333333334,30
0140440224,7.571428571428571,14
0140440410,8.538461538461538,13
0140441654,7.071428571428571,14
0140445560,7.538461538461538,13
0140481346,6.666666666666667,24
0140481389,7.869565217391305,23
0140620109,8.631578947368421,19
0140620117,7.923076923076923,13
0140620125,8.133333333333333,15
0140620168,7.384615384615385,13
0140620184,7.65,20
0140620206,7.416666666666667,12
0140620222,9.0,27
0140620303,7.0,11
0140620338,8.0,26
0140620427,8.238095238095237,21
014062063X,7.933333333333334,15
0140620664,8.545454545454545,11
0140620753,7.166666666666667,12
0140620869,8.615384615384615,13
0140621164,7.909090909090909,11
0140621725,8.692307692307692,13
0140622179,6.333333333333333,12
014100018X,7.846153846153846,52
0141000198,7.5256410256410255,78
0141001771,7.333333333333333,15
0141001828,8.055555555555555,18
0141002077,7.0,15
0141007338,7.961538461538462,26
0141011904,7.0588235294117645,17
0141301058,9.454545454545455,11
0141301066,9.076923076923077,13
0141301104,8.5,12
0141301120,7.909090909090909,11
0141301155,8.695652173913043,23
014131088X,8.365853658536585,41
0142000205,7.27906976744186,129
0142000221,7.4,15
014200023X,8.23076923076923,13
0142000345,7.909090909090909,11
0142000361,7.266666666666667,15
0142000663,8.36111111111111,36
0142000892,8.142857142857142,14
0142000981,5.133333333333334,15
0142001325,7.333333333333333,12
0142001430,8.318181818181818,88
0142001740,8.455414012738853,314
0142001805,8.382352941176471,68
0142001821,8.0,29
0142002267,8.025641025641026,39
0142002798,7.583333333333333,12
0142003727,7.633333333333334,30
0142004030,8.875,16
0142004235,8.63768115942029,69
0142004278,6.9,20
0142301515,7.909090909090909,11
0151001006,8.285714285714286,14
0151002290,7.0,26
0151002517,8.363636363636363,11
0151006725,7.818181818181818,11
0151006903,6.2,15
015100692X,7.628571428571429,35
0151008116,8.138297872340425,94
0152050167,9.083333333333334,12
015216250X,7.722222222222222,18
0152567089,9.181818181818182,11
0156001314,8.523809523809524,21
0156005891,7.909090909090909,33
0156006219,7.0,16
0156006391,7.857142857142857,14
0156006529,6.866666666666666,30
0156006847,7.846153846153846,13
015600710X,8.153846153846153,26
0156007479,7.857142857142857,28
0156007754,8.425531914893616,47
0156010593,8.538461538461538,13
0156011042,6.7272727272727275,22
0156012197,9.391304347826088,23
0156027321,8.026431718061675,227
0156028778,6.945945945945946,37
015602943X,8.692307692307692,26
0156106809,8.307692307692308,13
015640057X,7.363636363636363,11
0156439611,8.4,15
0156453800,7.636363636363637,11
0156528207,8.980392156862745,51
0156628708,7.056603773584905,53
015668568X,8.8,15
015670160X,6.75,12
0156711427,7.7407407407407405,27
0156787334,7.133333333333334,15
0156904365,7.785714285714286,14
0156907399,6.8125,16
0192815326,8.133333333333333,15
019282760X,8.5,12
0192833553,8.909090909090908,11
020530902X,9.153846153846153,13
0226500578,7.636363636363637,11
0252006860,8.866666666666667,15
0261102214,9.0,11
0306812274,6.428571428571429,14
0310205719,8.352941176470589,34
0310209307,8.176470588235293,17
0312050631,8.333333333333334,18
031205436X,7.4411764705882355,34
031208188X,8.307692307692308,13
0312099045,9.727272727272727,11
0312099436,8.045454545454545,22
0312113420,8.058823529411764,17
0312130279,7.857142857142857,14
0312134517,7.714285714285714,14
0312140908,7.090909090909091,11
0312140940,7.421052631578948,19
0312144075,8.1,40
0312147015,8.185185185185185,27
0312150601,7.6521739130434785,23
0312169787,9.090909090909092,11
0312171838,7.739130434782608,23
0312187459,8.0,13
0312195516,8.182767624020888,383
0312199430,7.871794871794871,39
0312201656,8.1,40
0312202318,7.833333333333333,12
0312203039,8.571428571428571,14
0312205406,8.130434782608695,23
0312243022,7.52054794520548,73
0312243359,8.571428571428571,14
0312244266,7.394736842105263,38
0312253435,8.636363636363637,11
0312261594,6.571428571428571,14
0312263120,7.413043478260869,46
0312263996,7.785714285714286,14
0312264372,6.583333333333333,12
0312265840,8.023809523809524,42
0312265859,8.384615384615385,52
0312265867,8.701754385964913,57
0312267460,8.0,13
0312272057,7.6521739130434785,23
0312274920,7.902439024390244,41
0312275420,7.375,24
0312278586,7.54424778761062,226
0312282990,8.106382978723405,94
0312283423,6.636363636363637,11
0312283709,7.516129032258065,31
0312284683,8.043478260869565,23
0312288115,5.25,20
0312289510,7.928571428571429,14
0312289723,8.473684210526315,19
0312289871,6.7272727272727275,11
0312291450,8.0,13
0312291639,7.293413173652695,167
0312303467,8.727272727272727,11
0312305060,7.627906976744186,129
0312306326,7.428571428571429,56
0312313810,7.3125,16
031231616X,7.666666666666667,15
0312316933,7.538461538461538,13
0312421036,8.277777777777779,18
0312421273,7.138888888888889,72
0312422156,8.305084745762711,59
031242227X,7.441558441558442,77
0312423799,8.538461538461538,13
031286504X,8.266666666666667,15
0312890044,8.0,13
0312901437,8.090909090909092,11
0312924585,8.366071428571429,112
0312924801,7.294117647058823,34
0312925883,8.333333333333334,21
0312927746,7.083333333333333,12
0312950489,7.6,15
0312950586,8.666666666666666,18
0312951426,7.428571428571429,14
0312952716,8.0,28
0312952813,8.166666666666666,12
0312953615,7.083333333333333,12
0312954468,8.615384615384615,13
0312955006,8.37037037037037,27
0312958129,8.157894736842104,19
0312960344,7.454545454545454,11
0312961324,7.958333333333333,24
0312962452,6.636363636363637,11
0312963009,6.7894736842105265,19
0312963297,7.111111111111111,18
0312965338,6.583333333333333,12
0312966091,8.157894736842104,95
0312966806,7.538461538461538,26
0312966970,8.135922330097088,103
0312969252,6.6923076923076925,13
0312971125,7.428571428571429,28
0312971230,7.384615384615385,13
0312971346,8.352941176470589,85
0312971397,8.0,13
0312973055,7.222222222222222,18
0312974256,7.724137931034483,29
0312976275,7.846153846153846,78
0312977026,7.947368421052632,19
0312978332,7.25,16
0312978340,6.909090909090909,11
0312978367,7.21875,32
0312978383,8.064516129032258,31
0312979096,7.972972972972973,37
0312979479,8.318181818181818,22
0312979517,7.083333333333333,12
0312979533,8.105263157894736,19
0312979886,6.384615384615385,13
0312979975,8.411764705882353,17
0312979983,8.470588235294118,17
0312980140,8.08695652173913,92
0312980159,7.75,52
0312980388,8.571428571428571,14
0312981589,7.714285714285714,14
031298250X,7.933333333333334,15
0312982518,7.297297297297297,37
0312982615,7.368421052631579,19
0312983212,7.285714285714286,14
0312983271,6.920353982300885,113
031298328X,6.568627450980392,51
0312983298,7.131578947368421,38
0312983301,7.419354838709677,31
0312983433,7.416666666666667,12
0312983824,7.531914893617022,47
0312983832,6.666666666666667,12
0312983867,8.228571428571428,70
0312984820,8.615384615384615,13
0312985207,7.933333333333334,15
0312986343,6.926829268292683,41
0312988249,7.181818181818182,11
0312989393,6.888888888888889,18
0312990456,8.397058823529411,68
0312991460,8.055555555555555,18
0312993536,8.0,13
0312995423,7.7032967032967035,91
0316089699,7.708333333333333,48
0316096199,8.19548872180451,133
0316103098,8.5,14
0316107298,8.692307692307692,13
0316107352,8.214285714285714,14
0316107387,8.333333333333334,15
0316107417,9.090909090909092,11
0316143464,8.083333333333334,24
0316153915,7.55,20
0316153990,7.7894736842105265,19
0316154059,7.823529411764706,34
0316154067,7.142857142857143,14
0316154075,6.909090909090909,11
0316154601,8.416666666666666,12
0316155306,8.421052631578947,19
0316158720,7.615384615384615,13
0316168688,8.148936170212766,47
0316168815,7.886363636363637,44
0316182540,8.076923076923077,52
0316284955,7.861271676300578,173
0316287555,7.076923076923077,13
0316291161,8.909090909090908,11
0316316962,8.15,20
0316346624,8.882352941176471,17
0316540838,6.785714285714286,14
0316569321,7.5,120
0316601950,7.5036764705882355,272
0316602051,7.619047619047619,42
0316602906,7.849056603773585,53
0316603287,7.068181818181818,44
0316603570,8.282051282051283,39
0316666009,7.661016949152542,59
0316666343,8.185289957567186,707
0316678104,8.027777777777779,36
0316690619,6.666666666666667,39
0316693006,8.508474576271187,59
0316693200,7.8474576271186445,59
0316693235,7.444444444444445,54
0316693251,8.268292682926829,41
0316693286,7.823529411764706,34
0316693294,8.027027027027026,37
0316693324,7.3076923076923075,26
0316693715,7.666666666666667,12
0316710571,8.736842105263158,19
0316734837,7.96,25
0316735027,8.1,20
0316735736,7.9375,16
0316769487,7.68724279835391,243
0316769495,8.041666666666666,24
0316769509,8.027777777777779,36
0316776963,7.8930817610062896,159
0316777722,7.807017543859649,57
0316777730,8.17910447761194,67
0316779059,9.166666666666666,12
0316779237,8.06060606060606,33
0316779423,7.538461538461538,39
0316779490,7.71875,32
0316780375,7.238095238095238,63
0316780812,8.0,32
0316781010,7.809523809523809,42
0316781142,6.95,60
0316781266,6.7926829268292686,82
0316782262,6.954545454545454,22
0316782505,7.695652173913044,46
0316785261,7.4375,16
0316785644,6.769230769230769,13
0316788228,7.92,50
0316789089,7.753846153846154,65
0316789844,8.0,21
0316789976,7.043478260869565,23
0316812471,7.909090909090909,11
0316899984,6.8307692307692305,65
0316899992,7.466666666666667,15
0316910333,7.4,15
0316929190,6.9411764705882355,17
0316969443,7.594936708860759,79
0316969680,7.448717948717949,78
0330253603,7.384615384615385,13
0330258648,9.052631578947368,19
0330262130,8.882352941176471,34
0330267388,8.703703703703704,27
0330294911,7.823529411764706,17
0330306839,7.2727272727272725,11
0330312367,7.923076923076923,13
0330330373,6.916666666666667,12
0330332775,7.458333333333333,72
0330334026,5.357142857142857,14
0330341634,7.3076923076923075,13
0330347772,7.545454545454546,11
0330349678,7.538461538461538,13
0330352253,7.545454545454546,11
0330352695,7.615384615384615,13
0330367358,7.76595744680851,47
0330375253,7.878048780487805,41
0330480774,6.916666666666667,12
0330485385,7.0476190476190474,21
0330487612,7.5,14
0330489461,7.458333333333333,24
034068948X,6.769230769230769,13
034073356X,8.6,15
0345253736,8.0625,16
0345272579,9.23076923076923,13
0345272587,9.166666666666666,12
0345285549,6.764705882352941,17
0345285859,8.0,11
0345295684,8.636363636363637,11
0345298349,7.375,16
034529873X,7.8,20
0345300203,7.071428571428571,14
0345301110,7.5625,32
0345303067,7.413793103448276,29
0345305183,8.333333333333334,15
034530988X,7.96,25
0345310020,8.1875,16
0345311396,6.916666666666667,12
0345311485,8.285714285714286,14
0345313151,8.227272727272727,22
0345313860,7.951048951048951,143
0345314255,7.342105263157895,38
0345315715,8.538461538461538,13
0345316002,7.666666666666667,15
0345316509,7.857142857142857,21
0345317580,8.0,20
0345318854,7.6,20
0345318862,8.0,12
0345321383,8.272727272727273,11
0345322215,7.352941176470588,17
0345322231,7.944444444444445,18
0345323440,7.2631578947368425,19
0345323750,7.928571428571429,14
0345325818,8.333333333333334,30
0345326490,7.733333333333333,15
0345327861,8.0,15
0345333756,7.5,12
0345333926,8.25,28
0345334310,8.357142857142858,14
0345334531,6.9393939393939394,33
0345335082,7.894736842105263,19
0345335287,6.875,16
0345335406,7.0,11
0345335457,8.0,15
0345335465,8.222222222222221,27
0345335511,8.0,23
0345335651,8.266666666666667,15
0345335708,8.0,16
0345337662,7.778260869565218,230
0345338545,8.733333333333333,15
0345338588,8.296296296296296,27
0345338715,8.333333333333334,12
0345339495,8.0,23
0345339681,8.73913043478261,161
0345339703,8.83969465648855,131
0345339711,9.120481927710843,83
0345339738,9.402597402597403,77
0345341678,8.692307692307692,13
0345342569,7.947368421052632,19
0345342968,8.628048780487806,164
0345345053,8.545454545454545,11
0345346491,7.9,20
0345346971,7.909090909090909,11
0345347536,7.925925925925926,27
0345347951,8.368421052631579,19
0345348036,8.837837837837839,74
0345348109,8.384615384615385,39
0345348656,7.7272727272727275,11
0345350472,7.962962962962963,27
0345350499,8.63855421686747,83
0345350588,6.818181818181818,11
0345350685,8.6,30
0345351525,7.42,100
0345352661,7.866666666666666,15
0345353145,7.4411764705882355,136
0345354613,7.681818181818182,44
0345354621,7.333333333333333,30
0345354648,6.5,14
0345354931,7.857142857142857,14
0345356365,7.090909090909091,11
0345356535,6.684210526315789,19
0345358791,7.666666666666667,18
0345358805,7.818181818181818,11
0345360001,8.066666666666666,15
0345361792,8.607734806629834,181
0345362721,6.909090909090909,11
0345362861,8.24,25
0345366239,7.970588235294118,34
034536676X,8.186440677966102,59
0345367650,7.0,12
0345367898,8.266666666666667,15
0345368436,7.181818181818182,11
0345368754,7.666666666666667,42
0345368932,8.0,24
0345368991,7.9411764705882355,17
0345369335,7.578947368421052,19
0345369351,7.5,14
0345369947,7.910714285714286,56
0345370775,7.85,200
0345370805,7.119047619047619,42
0345374568,6.769230769230769,13
0345375211,7.333333333333333,12
034537536X,7.25,12
0345377443,6.0,14
0345377591,7.846153846153846,13
0345377648,8.181818181818182,11
0345378482,7.6,70
0345378490,7.255102040816326,98
0345379330,7.882352941176471,17
0345380193,6.454545454545454,11
0345380371,7.329545454545454,88
0345381432,7.933333333333334,15
034538184X,7.423076923076923,26
0345382323,7.136363636363637,22
034538430X,7.5,22
0345384350,7.583333333333333,36
